Symbol,Qty,Price,Last Chg ($),Last,52-week high,52-week low,Day gain ($),Gain ($),Mkt value,Div yield
30050Y101,600,0,--,0,--,--,0,"-9,939.85",--,--
OKTA,500,67.04,-1.01,67.04,234.79,44.1204,-385,"-9,483.36","33,520.00",--
ARKK,400,30.95,-0.65,30.97,99.88,30.59,-260,"-44,822.73","12,380.00",7.85%
AAPL,"1,000",131.77,-0.47,131.86,182.94,129.03999,-460,"3,933.29","131,770.00",0.70%
NHI,100,54.08,0.03,54.08,67.16,50.22,3,"-1,028.41","5,408.00",6.66%
IPI,"1,000",28.91,0.22,28.9,121.72,27.98,220,"-19,346.66","28,910.00",--
VZ,"1,000",38.56,0.26,38.41,55.51,34.55,250,"-4,826.63","38,560.00",6.81%
PM,212,101.69,0.3,101.69,112.48,82.85,175.96,"10,645.99","21,558.28",5.04%
TSE,100,23.33,0.34,23.33,59.73,17.54,34,"-4,559.00","2,333.00",5.57%
MO,500,46.2,0.39,46.24,57.05,40.35,210,"9,101.16","23,100.00",8.21%
XAR,500,108.97,0.61,108.97,127.9,91.37,305,"21,892.50","54,485.00",0.51%
MU,200,50.15,0.72,50.2,98.45,48.43,144,"1,534.55","10,030.00",0.93%
KALU,38,77.08,0.72,77.08,107.41,59.24,27.36,"1,493.04","2,929.04",4.03%
SPY,43,382.82,2.07,382.91,479.98,348.11,90.3,"11,566.92","16,461.26",1.66%
WSM,300,120.22,2.21,120.22,176.89,101.58,669,"-2,636.03","36,066.00",2.64%
